level_0,index,SubjectID,VideoID,predefinedlabel,user-definedlabeln,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
35,35,3.0,5.0,1.0,0.0,47.46341463414634,52.300813008130085,30.390243902439025,726291.3089430894,191672.37398373985,35006.78048780488,22388.62601626016,21413.47154471545,14352.333333333334,8082.178861788618,5136.674796747968
36,36,3.0,6.0,1.0,1.0,44.584070796460175,48.11504424778761,38.663716814159294,908182.9115044248,281697.5663716814,52040.95575221239,38948.37168141593,25380.601769911504,21026.424778761062,11137.371681415929,6503.221238938053
37,37,3.0,7.0,1.0,1.0,46.57258064516129,45.0,20.491935483870968,843181.2419354839,235449.81451612903,52773.6129032258,25378.74193548387,23204.427419354837,16428.08064516129,9439.862903225807,5878.290322580645
38,38,3.0,8.0,1.0,1.0,50.87786259541985,59.29007633587786,35.66412213740458,776477.5801526718,182131.73282442748,40633.52671755725,26058.24427480916,20268.068702290075,14943.297709923665,8708.473282442748,6240.618320610687
39,39,3.0,9.0,1.0,1.0,25.795620437956206,49.11678832116788,44.45255474452555,907045.5620437956,336304.26277372264,98280.13868613138,62091.948905109486,39472.62773722628,31101.70802919708,16905.328467153286,6779.3722627737225
40,40,4.0,0.0,0.0,0.0,54.357142857142854,51.65,60.15714285714286,231639.69285714286,78786.85,17327.60714285714,15246.521428571428,20254.35,13804.221428571429,12165.685714285713,9169.021428571428
41,41,4.0,1.0,0.0,1.0,42.563380281690144,43.105633802816904,44.598591549295776,422638.76056338026,134631.94366197183,31888.774647887323,24468.542253521126,19608.922535211266,21044.88028169014,17380.767605633802,14074.866197183099
42,42,4.0,2.0,0.0,1.0,47.39344262295082,62.540983606557376,30.983606557377048,437520.6475409836,128973.4344262295,28338.95901639344,18699.688524590165,19848.811475409835,13467.942622950819,9842.975409836066,8480.22131147541
43,43,4.0,3.0,0.0,1.0,40.12068965517241,43.62068965517241,21.224137931034484,470408.1724137931,125687.14655172414,25572.0,18863.5,17887.681034482757,16763.94827586207,11578.887931034482,8992.75
44,44,4.0,4.0,0.0,0.0,49.979166666666664,57.604166666666664,40.22222222222222,426037.4375,124686.39583333333,28027.020833333332,26126.784722222223,17899.11111111111,14794.840277777777,11439.930555555555,9558.291666666666
45,45,4.0,5.0,1.0,0.0,58.46341463414634,69.97560975609755,23.11382113821138,247162.11382113822,88324.51219512195,20752.51219512195,18107.38211382114,14827.056910569107,15787.18699186992,9590.81300813008,7072.113821138211
46,46,4.0,6.0,1.0,1.0,38.46774193548387,45.66935483870968,53.895161290322584,341482.97580645164,90363.87903225806,19116.274193548386,16390.322580645163,13916.435483870968,12303.975806451614,7841.435483870968,6494.354838709677
47,47,4.0,7.0,1.0,1.0,36.549180327868854,49.295081967213115,19.37704918032787,446261.9262295082,124507.70491803279,27235.245901639344,23950.483606557376,20979.319672131147,17095.56557377049,15296.934426229509,10675.795081967213
48,48,4.0,8.0,1.0,1.0,36.63358778625954,50.70992366412214,39.6412213740458,362813.5496183206,110029.90076335878,24901.870229007633,21531.213740458013,17510.221374045803,16318.152671755724,10363.687022900764,7859.381679389313
49,49,4.0,9.0,1.0,0.0,43.00763358778626,55.16793893129771,47.030534351145036,263364.6641221374,83741.81679389313,26475.381679389313,13988.259541984733,10601.954198473282,10009.65648854962,6131.687022900764,5261.9312977099235
50,50,5.0,0.0,0.0,0.0,48.93055555555556,49.49305555555556,38.25,473339.72222222225,170439.23611111112,31753.67361111111,29009.666666666668,13781.347222222223,21672.9375,13649.409722222223,2122.7569444444443
51,51,5.0,1.0,0.0,1.0,51.75,48.9,33.642857142857146,860089.4357142857,253079.79285714286,54032.19285714286,34291.421428571426,34197.29285714286,23592.342857142856,12221.335714285715,4892.935714285714
52,52,5.0,2.0,0.0,1.0,48.23943661971831,59.852112676056336,31.93661971830986,846707.2957746478,276656.1690140845,68991.14084507042,48244.15492957747,33321.74647887324,28736.330985915494,15604.845070422536,5812.62676056338
53,53,5.0,3.0,0.0,1.0,37.795081967213115,52.90983606557377,34.704918032786885,965447.3360655737,284354.65573770495,56462.15573770492,28237.967213114753,24233.737704918032,17153.95901639344,8631.081967213115,5496.401639344263
54,54,5.0,4.0,0.0,0.0,47.91379310344828,56.5948275862069,44.5,577057.7068965518,171881.75,54143.81896551724,34967.81896551724,17413.827586206895,17665.508620689656,12446.362068965518,2618.7155172413795
55,55,5.0,5.0,1.0,1.0,46.829268292682926,55.67479674796748,28.617886178861788,836714.4390243902,323949.23577235773,85223.85365853658,56618.0,41177.89430894309,31127.38211382114,16967.357723577235,5347.447154471544
56,56,5.0,6.0,1.0,1.0,43.508620689655174,59.96551724137931,35.0,958024.5775862068,358190.0344827586,101865.31034482758,64942.974137931036,42393.46551724138,34784.19827586207,21032.53448275862,7825.706896551724
57,57,5.0,7.0,1.0,0.0,49.86725663716814,52.150442477876105,30.469026548672566,637438.3716814159,152505.05309734514,37328.22123893805,31966.070796460175,14104.38053097345,20554.911504424777,12368.132743362832,2518.83185840708
58,58,5.0,8.0,1.0,1.0,43.024193548387096,50.83064516129032,27.233870967741936,872975.1935483871,263280.0806451613,56770.50806451613,34276.66935483871,32484.064516129034,21341.217741935485,11047.693548387097,4621.0887096774195
59,59,5.0,9.0,1.0,0.0,47.07377049180328,56.77049180327869,40.77049180327869,500412.41803278687,164886.5,39462.42622950819,29154.983606557376,15730.598360655738,21443.196721311477,12900.508196721312,2240.9918032786886
60,60,6.0,0.0,0.0,1.0,0.0,0.0,367.64285714285717,807545.85,401609.45,112919.5,141040.73571428572,81007.96428571429,112267.42142857143,73135.28571428571,79095.2642857143
61,61,6.0,1.0,0.0,0.0,0.0,0.0,245.11971830985917,595207.8450704225,231366.32394366196,41717.626760563384,46124.112676056335,48270.035211267605,275703.88028169016,287988.7957746479,76448.25352112677
62,62,6.0,2.0,0.0,0.0,0.0,0.0,263.9590163934426,584569.7049180327,225168.72950819673,38174.024590163935,39712.15573770492,47837.54098360656,276137.368852459,241545.2131147541,82950.34426229508
63,63,6.0,3.0,0.0,1.0,0.0,0.0,355.33620689655174,855490.2586206896,342884.9224137931,125175.6724137931,131039.5,96779.89655172414,130072.50862068965,92971.06034482758,88753.53448275862
64,64,6.0,4.0,0.0,1.0,0.0,0.0,199.1875,733256.7291666666,255086.09027777778,55608.26388888889,51380.47222222222,56770.82638888889,297833.2638888889,283081.88194444444,97845.97222222222
65,65,6.0,5.0,1.0,0.0,0.0,0.0,395.2113821138211,675630.0243902439,171916.9756097561,44623.52032520325,67194.67479674796,49157.89430894309,104084.0162601626,109254.37398373983,52460.349593495936
66,66,6.0,6.0,1.0,1.0,0.0,0.0,418.4741379310345,793951.1293103448,247062.77586206896,42978.51724137931,75027.9827586207,61951.90517241379,159168.8620689655,146848.1551724138,66681.18965517242
67,67,6.0,7.0,1.0,0.0,0.0,0.0,575.5575221238938,755965.4513274336,172671.7610619469,56392.849557522124,66123.7168141593,55284.5221238938,59506.10619469026,53265.513274336285,49019.35398230088
68,68,6.0,8.0,1.0,1.0,0.0,0.0,426.9672131147541,879076.1803278689,241419.54098360657,83642.09016393442,93757.44262295082,64246.565573770495,83454.62295081967,55968.05737704918,56787.360655737706
69,69,6.0,9.0,1.0,0.0,0.0,0.0,300.86861313868616,822708.6642335766,208945.31386861313,67313.57664233577,77372.23357664233,51915.0802919708,72598.35036496351,61240.48175182482,49866.51824817518
70,70,7.0,0.0,0.0,1.0,46.364285714285714,43.642857142857146,31.664285714285715,599390.4857142858,126586.91428571429,27302.464285714286,19779.07857142857,19106.835714285713,34540.671428571426,26097.542857142857,18574.514285714286
71,71,7.0,1.0,0.0,1.0,43.21830985915493,51.95774647887324,40.86619718309859,826056.5,171766.17605633804,38770.387323943665,24259.908450704224,17013.838028169015,25105.711267605635,22331.88732394366,16002.302816901409
72,72,7.0,2.0,0.0,0.0,56.07377049180328,48.778688524590166,31.950819672131146,239727.631147541,66519.5737704918,15494.95081967213,14791.360655737704,17695.213114754097,24044.844262295082,16307.983606557376,11929.909836065573
73,73,7.0,3.0,0.0,1.0,20.50862068965517,57.96551724137931,42.6551724137931,911672.1896551724,235540.1551724138,55008.35344827586,30380.241379310344,21526.775862068964,22508.241379310344,19498.508620689656,12032.844827586207
74,74,7.0,4.0,0.0,1.0,50.423611111111114,47.361111111111114,28.48611111111111,461854.56944444444,112684.25,23718.222222222223,18676.520833333332,17574.32638888889,29320.6875,21118.541666666668,16284.222222222223
75,75,7.0,5.0,1.0,1.0,28.585365853658537,54.203252032520325,35.235772357723576,878016.3333333334,197816.07317073172,50010.16260162602,30918.18699186992,22344.227642276423,26939.658536585364,24830.50406504065,16559.39024390244
76,76,7.0,6.0,1.0,0.0,60.87931034482759,61.62931034482759,41.62068965517241,416497.3793103448,81636.7672413793,20950.146551724138,16564.103448275862,16702.41379310345,25216.672413793105,16471.75,12717.189655172413
77,77,7.0,7.0,1.0,1.0,39.306451612903224,42.814516129032256,42.225806451612904,529266.8145161291,122886.0241935484,26892.16935483871,21458.145161290322,21440.822580645163,36315.73387096774,24563.0564516129,17710.25
78,78,7.0,8.0,1.0,0.0,48.31297709923664,42.06870229007634,34.2442748091603,528694.213740458,110202.45801526717,23692.14503816794,16864.16030534351,16960.534351145037,32458.862595419847,23421.16030534351,17113.786259541987
79,79,7.0,9.0,1.0,0.0,53.652542372881356,54.19491525423729,36.110169491525426,271829.3559322034,76548.72881355933,19669.21186440678,15730.57627118644,20219.101694915254,31474.43220338983,23813.491525423728,16602.93220338983
80,80,8.0,0.0,0.0,0.0,50.69285714285714,49.75,22.542857142857144,792059.9214285715,211780.84285714285,42189.57142857143,27709.60714285714,23237.664285714287,19496.507142857143,14347.392857142857,10947.664285714285
81,81,8.0,1.0,0.0,0.0,50.04929577464789,64.41549295774648,49.725352112676056,606947.4647887324,160941.97887323942,36889.15492957747,26482.978873239437,18689.169014084506,18101.11267605634,11485.93661971831,8224.577464788732
82,82,8.0,2.0,0.0,0.0,52.91803278688525,49.92622950819672,40.75409836065574,618701.9016393443,169918.29508196723,37338.94262295082,24467.491803278688,15811.918032786885,15556.180327868853,11530.188524590163,6618.38524590164
83,83,8.0,3.0,0.0,0.0,53.63793103448276,54.310344827586206,29.086206896551722,677171.4224137932,173771.5948275862,33502.60344827586,20028.224137931036,18594.905172413793,18210.58620689655,11758.086206896553,8100.353448275862
84,84,8.0,4.0,0.0,1.0,34.36805555555556,52.59027777777778,35.19444444444444,956380.1527777778,324912.5833333333,73579.26388888889,44603.229166666664,33291.118055555555,24861.694444444445,13403.972222222223,7603.034722222223
85,85,8.0,5.0,1.0,1.0,33.3089430894309,46.0650406504065,28.650406504065042,1067592.1544715448,270415.0243902439,83950.82926829268,60555.91056910569,36328.21138211382,31721.60975609756,17284.463414634145,9374.422764227642
86,86,8.0,6.0,1.0,0.0,47.75806451612903,46.24193548387097,36.443548387096776,840501.2983870967,215770.8064516129,41204.403225806454,28295.032258064515,19717.798387096773,19203.129032258064,12393.241935483871,9090.25
87,87,8.0,7.0,1.0,0.0,50.9344262295082,48.35245901639344,44.15573770491803,787003.3196721311,203572.5737704918,34403.098360655735,26265.59836065574,20524.516393442624,19070.286885245903,14847.475409836066,8961.475409836066
88,88,8.0,8.0,1.0,1.0,36.93893129770992,47.88549618320611,27.580152671755727,970677.7786259542,298036.24427480914,85597.31297709924,72016.91603053435,37478.763358778626,45701.70229007633,33887.75572519084,16773.381679389313
89,89,8.0,9.0,1.0,1.0,29.60169491525424,39.66101694915254,42.79661016949152,995225.4491525424,336215.30508474575,77175.71186440678,54298.80508474576,40761.20338983051,30514.101694915254,14847.78813559322,8339.254237288136
90,90,9.0,0.0,0.0,1.0,35.0,57.84722222222222,20.90277777777778,1011255.4444444445,232927.64583333334,51621.194444444445,82672.90277777778,25158.541666666668,62368.069444444445,36444.40972222222,4817.409722222223
91,91,9.0,1.0,0.0,0.0,58.05714285714286,41.114285714285714,33.67857142857143,813359.8642857143,99995.65,38474.07142857143,39763.37142857143,15116.057142857142,73006.29285714286,14934.307142857142,2898.1857142857143
92,92,9.0,2.0,0.0,0.0,39.774647887323944,56.605633802816904,24.246478873239436,847588.2253521127,161300.5704225352,50134.718309859156,44347.22535211268,17367.654929577464,33030.211267605635,21633.661971830985,3262.1408450704225
93,93,9.0,3.0,0.0,1.0,42.65573770491803,62.22950819672131,32.78688524590164,906095.0901639344,177976.1393442623,51609.54098360656,60842.15573770492,16642.508196721312,57442.54098360656,26716.60655737705,3339.77868852459
94,94,9.0,4.0,0.0,1.0,38.91379310344828,50.422413793103445,46.75,861904.8103448276,159156.58620689655,57424.25,46757.525862068964,25228.646551724138,52089.98275862069,26346.44827586207,3777.8189655172414
95,95,9.0,5.0,1.0,1.0,49.8130081300813,41.048780487804876,38.80487804878049,935209.0487804879,282487.51219512196,70498.08943089431,40760.39837398374,28621.52845528455,41453.46341463415,54069.455284552845,22656.227642276423
96,96,9.0,6.0,1.0,0.0,29.620689655172413,53.293103448275865,16.54310344827586,780563.6034482758,193226.87068965516,74629.12931034483,44065.68103448276,23816.422413793105,25928.741379310344,17276.931034482757,3854.594827586207
97,97,9.0,7.0,1.0,0.0,27.633928571428573,48.36607142857143,22.482142857142858,733096.5803571428,137478.26785714287,37676.38392857143,28570.58035714286,14776.285714285714,19909.026785714286,18249.26785714286,2697.9375
98,98,9.0,8.0,1.0,1.0,55.54838709677419,52.87903225806452,29.56451612903226,914415.4596774194,198926.0483870968,42279.81451612903,25929.185483870966,20326.217741935485,36773.4435483871,45424.58870967742,17554.927419354837
99,99,9.0,9.0,1.0,0.0,45.26229508196721,46.557377049180324,26.15573770491803,873386.2704918033,162498.68032786885,42521.19672131148,37859.87704918033,15345.540983606557,56481.975409836065,22260.89344262295,2995.9262295081967
